X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,RESPONSE_TIME_MINUTES
396920.259999998,138793.190000001,24091506,2024-06-16 09:01:01+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1500 - 1599 BLOCK OF U STREET NW,396920.26,138793.19,1.0,1B,3.0,301.0,Cluster 6,004300 3,4300.0,Precinct 22,38.9170013541,-77.0355123012,,2024-06-16 07:00:00+00:00,2024-06-16 08:48:00+00:00,606076223,108.0
397791.789999999,134653.550000001,24077884,2024-05-24 06:16:30+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,50 - 99 BLOCK OF DISTRICT SQUARE SW,397791.79,134653.55,6.0,6D,1.0,103.0,Cluster 9,010202 5,10202.0,Precinct 142,38.8797126062,-77.0254494333,SOUTHWEST,2024-05-24 02:19:00+00:00,2024-05-24 03:42:00+00:00,606076245,83.0
396518.920000002,142278.670000002,24062904,2024-04-27 16:19:40+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,4700 - 4799 BLOCK OF BLAGDEN TERRACE NW,396518.92,142278.67,4.0,4E,4.0,404.0,Cluster 18,002600 2,2600.0,Precinct 48,38.9483981168,-77.0401578086,,2024-04-27 15:26:00+00:00,2024-04-27 15:30:00+00:00,606076267,4.0
397823.780000001,141376.73,24106105,2024-07-11 14:17:39+00:00,DAY,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF GEORGIA AVENUE NW,397823.78,141376.73,4.0,4C,4.0,404.0,Cluster 18,002503 1,2503.0,Precinct 47,38.940277387,-77.0251020575,,2024-07-11 13:27:00+00:00,2024-07-11 13:27:00+00:00,606076268,0.0
398477.259999998,137708.550000001,24112374,2024-07-22 23:39:54+00:00,EVENING,OTHERS,ROBBERY,400 - 499 BLOCK OF N STREET NW,398477.26,137708.55,2.0,2G,3.0,308.0,Cluster 7,004802 1,4802.0,Precinct 18,38.9072346268,-77.017556221,,2024-07-22 17:57:00+00:00,2024-07-22 18:00:00+00:00,606076269,3.0
403775.57,139530.09,24051500,2024-04-06 23:33:03+00:00,EVENING,OTHERS,THEFT/OTHER,2470 - 2599 BLOCK OF BALDWIN CRESCENT NE,403775.57,139530.09,5.0,5C,5.0,503.0,Cluster 24,009000 2,9000.0,Precinct 139,38.9236368742,-76.9564600722,,2024-04-06 20:30:00+00:00,2024-04-06 20:35:00+00:00,606076272,5.0
399886.829999998,136928.010000002,24017682,2024-02-04 11:17:26+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF H STREET NE,399886.83,136928.01,6.0,6C,1.0,104.0,Cluster 25,008301 1,8301.0,Precinct 83,38.9002045591,-77.0013046493,,2024-02-04 07:24:00+00:00,2024-02-04 08:22:00+00:00,606076280,58.0
401095.479999997,140317.699999999,24019021,2024-02-06 22:20:12+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF KEARNY STREET NE,401095.48,140317.7,5.0,5B,5.0,504.0,Cluster 22,009301 4,9301.0,Precinct 73,38.93073934,-76.9873656509,,2024-02-06 11:30:00+00:00,2024-02-06 22:15:00+00:00,606076281,645.0
400798.009999998,140980.190000001,24019825,2024-02-08 09:18:16+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,3800 - 3899 BLOCK OF 12TH STREET NE,400798.01,140980.19,5.0,5B,5.0,504.0,Cluster 20,009504 1,9504.0,Precinct 68,38.9367075708,-76.9907956504,,2024-02-08 01:35:00+00:00,2024-02-08 01:40:00+00:00,606076282,5.0
397893.859999999,139390.390000001,24070589,2024-05-11 12:39:50+00:00,DAY,OTHERS,THEFT F/AUTO,2300 - 2599 BLOCK OF 9TH STREET NW,397893.86,139390.39,1.0,1E,3.0,304.0,Cluster 2,003500 2,3500.0,Precinct 37,38.9223839988,-77.0242876095,,2024-05-11 06:00:00+00:00,2024-05-11 11:00:00+00:00,606076288,300.0
